id,label,file,title_en,title_ja,object_type_en,object_type_ja,period_en,period_ja,site_en,site_ja,city_en,city_ja,prefecture_en,prefecture_ja,country_en,country_ja,report_en,report_ja,report_url,figure,institution_en,institution_ja,description_en,description_ja,source_url,lat,lon,zoom
,0B-1,models/0B-1.glb,0B-1,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,0B-2,models/0B-2.glb,0B-2,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,1A-1,models/1A-1.glb,1A-1,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,-1B-1,models/-1B-1.glb,-1B-1,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,2A-1_3B-7,models/2A-1_3B-7.glb,2A-1_3B-7,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,2B-3,models/2B-3.glb,2B-3,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,2B-9,models/2B-9.glb,2B-9,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,2B-12,models/2B-12.glb,2B-12,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,2D-1,models/2D-1.glb,2D-1,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,2D-3,models/2D-3.glb,2D-3,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,2D-4,models/2D-4.glb,2D-4,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
,3B-1,models/3B-1.glb,3B-1,,Balustrade,,Bayon,,Ta Nei,,Angkor,,Siem Reap,,Cambodia,,,,,,Tokyo National Rresearch Institute for Cultual Properties & APSARA National Authority,,,,,,,
